,Provider_Number,Hospital_Name,Address,City,State,ZIP_Code,County_Name,Hours physical restraint rate per 1000,Hours physical restraint,Total inpatient hours,Hours seclusion rate per 1000,Hours seclusion,Total inpatient hours,Discharged 2+ meds %,Discharged 2+ meds with justification,Discharged 2+ meds total,Post discharge continuing care plan %,Post discharge continuing care plan created,Total discharge patients,Continuing care plan sent to next provider %,Continuing care plan sent to next provider,Total continuing care plans,Alcohol Screen Complete %,Alcohol Screen Numerator,Alcohol Screen Denominator,TOB-1_%,TOB-1_Numerator,TOB-1_Denominator,Tobacco Use Screen %,TOB-2_Numerator,TOB-2/-2a_Denominator,TOB-2a_%,TOB-2a_Numerator,TOB-2/-2a__Denominator,PEoC_Assessed_Response,EHR Use,HIE_Response,Start_Date,End_Date,% Patients Follow Up Care within 30 days,FUH-30_Numerator,FUH-30_Denominator,% Patients Follow Up Care within 7 days for mental illness,FUH-7_Numerator,FUH-7_Denominator,FUH_Measure_Start_Date,FUH_Measure_End_Date,IMM-2_%,IMM-2_Numerator,IMM-2_Denominator,HCP_%,HCP_Numerator,HCP_Denominator,Flu_Season_Start_Date,Flu_Season_End_Date
10,10040,GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE ,GADSDEN,AL,35903,Etowah,0.0,0.0,4165.0,0.0,0,4165,,Not Available,Not Available,90.54%,201,222,80.63%,179,222,99.66%,296,297,100.00%,296,296,80.43%,37,46,Not Available,Not Available,Not Available,No,Paper or Other Form,No,01/01/2015,12/31/2015,35.90%,14,39,Not Available,Not Available,Not Available,07/01/2014,06/30/2015,100.00%,145,145,Not Available,Not Available,Not Available,10/01/2015,03/31/2016
11,10046,RIVERVIEW REGIONAL MEDICAL CENTER,600 SOUTH THIRD STREET ,GADSDEN,AL,35901,Etowah,0.0,0.0,1797.0,0.17,7.33,1797,,Not Available,Not Available,92.59%,125,135,82.22%,111,135,74.22%,95,128,96.09%,123,128,69.57%,16,23,Not Available,Not Available,Not Available,Yes,Paper or Other Form,No,01/01/2015,12/31/2015,58.54%,24,41,Not Available,Not Available,Not Available,07/01/2014,06/30/2015,80.77%,63,78,58,350,608,10/01/2015,03/31/2016
12,10062,WIREGRASS MEDICAL CENTER,1200 W MAPLE AVENUE ,GENEVA,AL,36340,Geneva,0.0,0.0,4500.0,0.0,0,4500,35.9,14,39,100.00%,62,62,96.88%,62,64,100.00%,64,64,100.00%,64,64,27.59%,64,232,0.00%,0,232,No,Paper or Other Form,No,01/01/2015,12/31/2015,56.10%,23,41,Not Available,Not Available,Not Available,07/01/2014,06/30/2015,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10/01/2015,03/31/2016
13,10069,MEDICAL CENTER BARBOUR,820 W WASHINGTON ST ,EUFAULA,AL,36027,Barbour,0.0,0.0,2355.0,0.0,0,2355,100.0,11,11,100.00%,233,233,100.00%,233,233,100.00%,233,233,100.00%,233,233,55.79%,130,233,44.21%,103,233,No,Certified EHR Technology,Yes,01/01/2015,12/31/2015,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2015,100.00%,111,111,Not Available,Not Available,Not Available,10/01/2015,03/31/2016
14,10078,NORTHEAST ALABAMA REGIONAL MED CENTER,400 EAST 10TH STREET ,ANNISTON,AL,36207,Calhoun,0.06,8.0,5616.0,0.24,32.5,5616,,Not Available,Not Available,99.72%,358,359,98.89%,355,359,99.77%,432,433,96.30%,416,432,92.27%,179,194,Not Available,Not Available,Not Available,No,Paper or Other Form,No,01/01/2015,12/31/2015,40.00%,56,140,22.86%,32,140,07/01/2014,06/30/2015,97.89%,278,284,73,35,48,10/01/2015,03/31/2016
15,10085,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,1201 7TH STREET SE ,DECATUR,AL,35601,Morgan,0.0,0.0,13624.0,0.0,0,13624,,Not Available,Not Available,81.75%,681,833,79.23%,660,833,96.31%,235,244,98.34%,237,241,0.00%,0,114,0.00%,0,114,No,Paper or Other Form,No,01/01/2015,12/31/2015,65.91%,58,88,42.05%,37,88,07/01/2014,06/30/2015,72.66%,210,289,63,102,163,10/01/2015,03/31/2016
16,10086,NORTHWEST MEDICAL CENTER,1530 U S HIGHWAY 43 P O BOX 130,WINFIELD,AL,35594,Fayette,0.0,0.0,2739.0,0.0,0,2739,,Not Available,Not Available,99.00%,199,201,99.00%,199,201,100.00%,189,189,100.00%,191,191,85.71%,36,42,71.43%,30,42,No,Paper or Other Form,No,01/01/2015,12/31/2015,42.86%,12,28,Not Available,Not Available,Not Available,07/01/2014,06/30/2015,100.00%,89,89,77,92,119,10/01/2015,03/31/2016
17,10089,WALKER BAPTIST MEDICAL CENTER,3400 HIGHWAY 78 EAST ,JASPER,AL,35502,Walker,0.02,10.23,21734.0,0.0,0,21734,90.0,27,30,94.61%,439,464,92.89%,431,464,97.50%,506,519,98.23%,499,508,91.51%,291,318,66.98%,213,318,Yes,Certified EHR Technology,Yes,01/01/2015,12/31/2015,48.21%,81,168,27.38%,46,168,07/01/2014,06/30/2015,99.16%,235,237,75,27,36,10/01/2015,03/31/2016
18,10091,GROVE HILL MEMORIAL HOSPITAL,295 SOUTH JACKSON ST ,GROVE HILL,AL,36451,Clarke,0.0,0.0,1636.0,0.0,0,1636,,Not Available,Not Available,46.27%,62,134,25.37%,34,134,94.24%,131,139,96.45%,136,141,57.14%,16,28,Not Available,Not Available,Not Available,No,Certified EHR Technology,No,01/01/2015,12/31/2015,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2015,32.84%,22,67,61,17,28,10/01/2015,03/31/2016
19,10092,D C H REGIONAL MEDICAL CENTER,809 UNIVERSITY BOULEVARD EAST ,TUSCALOOSA,AL,35401,Tuscaloosa,1.62,498.26,12806.0,0.31,94.32,12806,,Not Available,Not Available,92.81%,516,556,86.69%,482,556,98.14%,264,269,99.28%,274,276,77.61%,104,134,61.94%,83,134,Yes,Paper or Other Form,No,01/01/2015,12/31/2015,35.80%,58,162,18.52%,30,162,07/01/2014,06/30/2015,98.43%,125,127,53,43,81,10/01/2015,03/31/2016
20,10101,CITIZENS BMC,604 STONE AVENUE ,TALLADEGA,AL,35160,Talladega,0.21,23.7,4684.0,0.0,0,4684,100.0,11,11,98.18%,269,274,97.45%,267,274,98.47%,258,262,94.44%,238,252,68.75%,33,48,31.25%,15,48,Yes,Certified EHR Technology,Yes,01/01/2015,12/31/2015,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2015,100.00%,109,109,42,15,36,10/01/2015,03/31/2016
21,10103,BAPTIST MEDICAL CENTER-PRINCETON,701 PRINCETON AVENUE SOUTHWEST ,BIRMINGHAM,AL,35211,Jefferson,0.0,0.0,28148.0,0.0,0,28148,,Not Available,Not Available,81.23%,225,277,75.45%,209,277,99.81%,536,537,86.81%,441,508,84.71%,72,85,52.94%,45,85,Yes,Certified EHR Technology,Yes,01/01/2015,12/31/2015,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2015,75.36%,104,138,41,24,58,10/01/2015,03/31/2016
22,10104,TRINITY MEDICAL CENTER,3690 GRANDVIEW PARKWAY ,BIRMINGHAM,AL,35243,Jefferson,0.12,9.81,3324.0,0.02,1.92,3324,100.0,21,21,100.00%,222,222,100.00%,222,222,100.00%,160,160,100.00%,161,161,100.00%,28,28,42.86%,12,28,No,Certified EHR Technology,No,01/01/2015,12/31/2015,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2015,100.00%,108,108,79,62,78,10/01/2015,03/31/2016
23,10109,PICKENS COUNTY MEDICAL CENTER,241 ROBERT K WILSON DRIVE ,CARROLLTON,AL,35447,Pickens,0.0,0.08,2053.0,0.0,0,2053,,Not Available,Not Available,100.00%,99,99,81.82%,81,99,96.77%,30,31,100.00%,45,45,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Yes,Paper or Other Form,Yes,01/01/2015,12/31/2015,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2015,100.00%,40,40,88,21,24,10/01/2015,03/31/2016
24,10110,BULLOCK COUNTY HOSPITAL,102 CONECUH AVENUE WEST ,UNION SPRINGS,AL,36089,Bullock,0.0,0.0,4480.0,1.23,132,4480,0.0,0,143,64.04%,399,623,58.75%,366,623,40.84%,243,595,92.77%,552,595,0.00%,0,324,0.00%,0,324,No,Paper or Other Form,No,01/01/2015,12/31/2015,30.11%,28,93,16.13%,15,93,07/01/2014,06/30/2015,72.20%,200,277,43,19,44,10/01/2015,03/31/2016
25,10112,BRYAN W. WHITFIELD MEMORIAL HOSPITAL,105 HIGHWAY 80 EAST ,DEMOPOLIS,AL,36732,Marengo,0.0,0.02,2237.0,0.0,0,2237,,Not Available,Not Available,94.44%,136,144,94.44%,136,144,91.67%,11,12,91.67%,11,12,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Yes,Paper or Other Form,No,01/01/2015,12/31/2015,72.22%,26,36,47.22%,17,36,07/01/2014,06/30/2015,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10/01/2015,03/31/2016
26,10113,MOBILE INFIRMARY MEDICAL CENTER,5 MOBILE INFIRMARY CIRCLE ,MOBILE,AL,36607,Mobile,1.22,298.19,10194.0,0.47,115.27,10194,0.0,0,20,5.79%,21,363,4.13%,15,363,94.74%,468,494,99.20%,493,497,72.73%,152,209,32.06%,67,209,No,Certified EHR Technology,Yes,01/01/2015,12/31/2015,41.96%,47,112,22.32%,25,112,07/01/2014,06/30/2015,98.97%,289,292,5,56,1052,10/01/2015,03/31/2016
27,10114,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",995 9TH AVENUE SOUTHWEST ,BESSEMER,AL,35022,Jefferson,5.11,620.8,5065.0,0.0,0,5065,43.59,17,39,98.19%,435,443,98.19%,435,443,98.50%,329,334,99.49%,390,392,72.41%,42,58,41.38%,24,58,No,Certified EHR Technology,Yes,01/01/2015,12/31/2015,57.69%,15,26,Not Available,Not Available,Not Available,07/01/2014,06/30/2015,91.67%,187,204,53,19,36,10/01/2015,03/31/2016
28,10125,LAKELAND COMMUNITY HOSPITAL,PO BOX 780 ,HALEYVILLE,AL,35565,Winston,0.0,0.0,1363.0,0.0,0,1363,,Not Available,Not Available,100.00%,106,106,100.00%,106,106,99.01%,100,101,100.00%,101,101,80.00%,24,30,56.67%,17,30,No,Certified EHR Technology,Yes,01/01/2015,12/31/2015,44.00%,11,25,Not Available,Not Available,Not Available,07/01/2014,06/30/2015,100.00%,44,44,88,105,119,10/01/2015,03/31/2016
29,10129,NORTH BALDWIN INFIRMARY,1815 HAND AVENUE ,BAY MINETTE,AL,36507,Baldwin,0.0,0.0,4275.0,0.04,4.47,4275,,Not Available,Not Available,88.62%,257,290,74.48%,216,290,99.64%,279,280,99.29%,278,280,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Certified EHR Technology,Yes,01/01/2015,12/31/2015,62.96%,17,27,Not Available,Not Available,Not Available,07/01/2014,06/30/2015,93.33%,126,135,84,360,427,10/01/2015,03/31/2016
30,10139,BROOKWOOD MEDICAL CENTER,2010 BROOKWOOD MEDICAL CENTER DRIVE ,BIRMINGHAM,AL,35209,Jefferson,0.2,162.3,34319.0,0.0,2.92,34319,,Not Available,Not Available,80.57%,825,1024,59.18%,606,1024,97.61%,777,796,99.13%,794,801,35.94%,170,473,31.71%,150,473,Yes,Paper or Other Form,No,01/01/2015,12/31/2015,45.45%,185,407,20.64%,84,407,07/01/2014,06/30/2015,43.35%,101,233,64,990,1555,10/01/2015,03/31/2016
31,10146,RMC JACKSONVILLE,1701 SOUTH PELHAM ROAD ,JACKSONVILLE,AL,36265,Calhoun,0.0,0.0,3052.0,0.0,0,3052,,Not Available,Not Available,96.70%,176,182,91.21%,166,182,92.31%,156,169,100.00%,168,168,66.67%,12,18,61.11%,11,18,No,Certified EHR Technology,Yes,01/01/2015,12/31/2015,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2015,96.15%,75,78,93,28,30,10/01/2015,03/31/2016
32,10150,L V STABLER MEMORIAL HOSPITAL,29 L V STABLER DRIVE ,GREENVILLE,AL,36037,Butler,0.0,0.0,2762.0,0.0,0,2762,,0,0,100.00%,200,200,100.00%,200,200,100.00%,204,204,100.00%,204,204,100.00%,24,24,Not Available,Not Available,Not Available,No,Paper or Other Form,No,01/01/2015,12/31/2015,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2015,100.00%,89,89,74,26,35,10/01/2015,03/31/2016
33,10157,SHOALS HOSPITAL,201 WEST AVALON AVENUE ,MUSCLE SHOALS,AL,35661,Colbert,0.11,12.58,4775.0,0.11,12.58,4775,,Not Available,Not Available,91.73%,233,254,89.37%,227,254,99.70%,335,336,98.51%,330,335,67.24%,39,58,48.28%,28,58,Yes,Non-Certified EHR Technology,Yes,01/01/2015,12/31/2015,63.64%,35,55,27.27%,15,55,07/01/2014,06/30/2015,99.45%,180,181,100,48,48,10/01/2015,03/31/2016
34,10164,COOSA VALLEY MEDICAL CENTER,315 W HICKORY ST ,SYLACAUGA,AL,35150,Talladega,0.0,0.0,4905.0,0.0,0,4905,,Not Available,Not Available,68.66%,184,268,68.28%,183,268,98.32%,234,238,99.58%,238,239,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Yes,Paper or Other Form,Yes,01/01/2015,12/31/2015,58.33%,14,24,Not Available,Not Available,Not Available,07/01/2014,06/30/2015,48.67%,55,113,75,739,983,10/01/2015,03/31/2016
35,14000,HILL CREST BEHAVIORAL HEALTH SERVICES,6869 5TH AVENUE SOUTH ,BIRMINGHAM,AL,35212,Jefferson,0.01,6.1,24648.0,0.0,0,24648,100.0,31,31,100.00%,554,554,99.82%,553,554,100.00%,377,377,99.73%,376,377,100.00%,270,270,24.44%,66,270,Yes,Paper or Other Form,Yes,01/01/2015,12/31/2015,40.00%,16,40,Not Available,Not Available,Not Available,07/01/2014,06/30/2015,95.22%,319,335,53,237,446,10/01/2015,03/31/2016
36,14006,MOUNTAIN VIEW HOSPITAL,3001 SCENIC HIGHWAY ,GADSDEN,AL,35904,Etowah,0.66,146.5,9209.0,0.02,4.76,9209,,Not Available,Not Available,99.77%,869,871,98.16%,855,871,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Paper or Other Form,No,01/01/2015,12/31/2015,47.89%,34,71,21.13%,15,71,07/01/2014,06/30/2015,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10/01/2015,03/31/2016
37,14007,BRYCE HOSPITAL,1651 RUBY TYLER PARKWAY ,TUSCALOOSA,AL,35404,Not Available,0.53,424.62,33624.0,0.07,53.85,33625,90.36,75,83,99.56%,226,227,99.56%,226,227,96.61%,171,177,64.97%,115,177,70.83%,34,48,58.33%,28,48,Yes,Paper or Other Form,No,01/01/2015,12/31/2015,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2015,80.36%,45,56,62,466,757,10/01/2015,03/31/2016
38,14012,MARY S HARPER GERIATRIC PSYCHIATRY CENTER,200 UNIVERSITY BLVD ,TUSCALOOSA,AL,35401,Tuscaloosa,0.05,44.32,36567.0,0.09,81.77,36567,100.0,17,17,96.59%,255,264,96.59%,255,264,98.11%,156,159,98.88%,177,179,83.33%,25,30,Not Available,Not Available,Not Available,Yes,Paper or Other Form,No,01/01/2015,12/31/2015,46.67%,21,45,26.67%,12,45,07/01/2014,06/30/2015,74.07%,60,81,75,228,303,10/01/2015,03/31/2016
39,14014,BAYPOINTE BEHAVIORAL HEALTH,5800 SOUTHLAND DRIVE ,MOBILE,AL,36693,Mobile,0.18,40.13,9227.0,0.06,13.21,9227,23.33,14,60,100.00%,1086,1086,100.00%,1086,1086,38.44%,133,346,0.00%,0,346,0.00%,0,346,0.00%,0,346,No,Non-Certified EHR Technology,No,01/01/2015,12/31/2015,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2015,0.00%,0,498,63,245,386,10/01/2015,03/31/2016
40,14015,BEACON CHILDREN'S HOSPITAL,150 HOSPITAL DRIVE ,LUVERNE,AL,36049,Crenshaw,0.11,13.07,4974.0,0.01,.8,4974,,Not Available,Not Available,99.74%,385,386,99.22%,383,386,100.00%,26,26,100.00%,26,26,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Yes,Paper or Other Form,No,01/01/2015,12/31/2015,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2015,99.13%,227,229,28,32,116,10/01/2015,03/31/2016
41,14016,"SANCTUARY AT THE WOODLANDS, THE","1910 CHEROKEE AVENUE, SW ",CULLMAN,AL,35055,Cullman,0.0,0.0,5885.0,0.0,0,5885,,Not Available,Not Available,98.88%,353,357,94.96%,339,357,100.00%,357,357,100.00%,357,357,100.00%,164,164,87.20%,143,164,Yes,Paper or Other Form,No,01/01/2015,12/31/2015,45.38%,54,119,16.81%,20,119,07/01/2014,06/30/2015,90.43%,208,230,98,119,122,10/01/2015,03/31/2016
42,14017,EASTPOINTE HOSPITAL,7400 ROPER LANE ,DAPHNE,AL,36526,Baldwin,0.02,9.47,16428.0,0.72,285.71,16428,50.0,153,306,100.00%,1350,1350,100.00%,1350,1350,72.15%,1052,1458,0.00%,0,1458,0.00%,0,1458,0.00%,0,1458,Yes,Non-Certified EHR Technology,No,01/01/2015,12/31/2015,51.61%,96,186,27.42%,51,186,07/01/2014,06/30/2015,0.00%,0,598,65,260,403,10/01/2015,03/31/2016
43,14018,"BEHAVIORAL HEALTHCARE CENTER AT HUNTSVILLE, INC","5315 MILLENIUM DRIVE, NW ",HUNTSVILLE,AL,35806,Madison,0.0,0.0,3236.0,0.0,0,3236,,Not Available,Not Available,97.87%,184,188,93.62%,176,188,98.46%,128,130,97.69%,127,130,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Yes,Paper or Other Form,No,01/01/2015,12/31/2015,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2015,82.05%,64,78,44,34,78,10/01/2015,03/31/2016
44,20008,BARTLETT REGIONAL HOSPITAL,3260 HOSPITAL DR ,JUNEAU,AK,99801,Juneau,0.84,57.79,2874.0,0.0,0,2874,,Not Available,Not Available,85.56%,154,180,63.33%,114,180,60.24%,153,254,98.84%,255,258,98.40%,123,125,71.20%,89,125,Yes,Non-Certified EHR Technology,No,01/01/2015,12/31/2015,40.54%,15,37,Not Available,Not Available,Not Available,07/01/2014,06/30/2015,94.67%,160,169,84,32,38,10/01/2015,03/31/2016
45,24001,NORTH STAR HOSPITAL,2530 DEBARR RD ,ANCHORAGE,AK,99508,Anchorage,0.08,61.4,30786.0,0.69,507.7,30786,,Not Available,Not Available,97.22%,769,791,94.31%,746,791,97.56%,40,41,100.00%,41,41,52.38%,11,21,Not Available,Not Available,Not Available,Yes,Paper or Other Form,No,01/01/2015,12/31/2015,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2015,86.78%,394,454,50,255,513,10/01/2015,03/31/2016
46,24002,ALASKA PSYCHIATRIC INSTITUTE,2800 PROVIDENCE DRIVE ,ANCHORAGE ,AK,99508,Not Available,4.23,2356.97,23220.0,1.03,575.68,23220,,Not Available,Not Available,100.00%,1373,1373,88.57%,1216,1373,83.74%,793,947,76.70%,757,987,0.00%,0,513,0.00%,0,513,Yes,Paper or Other Form,No,01/01/2015,12/31/2015,44.38%,71,160,21.88%,35,160,07/01/2014,06/30/2015,51.11%,253,495,77,264,341,10/01/2015,03/31/2016
47,30002,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX,1111 E. MCDOWELL RD. ,PHOENIX,AZ,85006,Not Available,0.03,11.37,16763.0,0.0,0,16763,,Not Available,Not Available,95.12%,195,205,93.14%,190,204,94.60%,543,574,97.91%,562,574,23.61%,68,288,15.97%,46,288,Yes,Certified EHR Technology,Yes,01/01/2015,12/31/2015,56.82%,25,44,43.18%,19,44,07/01/2014,06/30/2015,99.21%,125,126,95,62,65,10/01/2015,03/31/2016
48,30006,TUCSON MEDICAL CENTER,5301 E. GRANT ROAD ,TUCSON,AZ,85712,Pima,0.0,0.0,2843.0,0.0,0,2843,,Not Available,Not Available,99.44%,353,355,87.04%,309,355,Not Available,Not Available,Not Available,100.00%,318,318,48.28%,14,29,41.38%,12,29,Not Available,Not Available,Not Available,01/01/2015,12/31/2015,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2015,85.00%,153,180,Not Available,Not Available,Not Available,10/01/2015,03/31/2016
49,30007,VERDE VALLEY MEDICAL CENTER,269 S. CANDY LANE ,COTTONWOOD,AZ,86326,Not Available,0.0,0.0,2043.0,0.0,0,2043,,Not Available,Not Available,100.00%,174,174,91.95%,160,174,93.55%,145,155,100.00%,154,154,47.83%,33,69,0.00%,0,69,Yes,Certified EHR Technology,Yes,01/01/2015,12/31/2015,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2015,100.00%,82,82,96,25,26,10/01/2015,03/31/2016
50,30010,ST. MARY'S HOSPITAL,1601 W. ST. MARY'S RD. ,TUCSON,AZ,85745,Pima,0.02,3.2,5525.0,0.0,0,5525,,Not Available,Not Available,93.65%,280,299,87.63%,262,299,98.85%,429,434,98.86%,434,439,30.58%,37,121,28.10%,34,121,Yes,Certified EHR Technology,Yes,01/01/2015,12/31/2015,43.14%,22,51,29.41%,15,51,07/01/2014,06/30/2015,93.49%,201,215,100,134,134,10/01/2015,03/31/2016
